Country;Date;Bee_name
Germany;9-8-2022;Apis mellifera
Germany;9-8-2022;Andrena minutula
Germany;9-8-2022;Bombus pascuorum
Germany;9-8-2022;Apis mellifera
Germany;9-8-2022;Apis mellifera
Germany;9-8-2022;Apis mellifera
Germany;9-8-2022;Halictus spec
Germany;9-8-2022;Bombus lapidarius
Germany;9-8-2022;Apis mellifera
Germany;9-8-2022;Apis mellifera
Germany;9-8-2022;Apis melllifera
Germany;9-8-2022;Bombus spec
Germany;9-8-2022;Halictus spec
Germany;8-6-2022;Bombus lapidarius
Germany;8-6-2022;Osmia leucomelana
Germany;13-7-2022;Bombus lapidarius
Germany;13-7-2022;Bombus pascuorum
Germany;13-7-2022;Bombus pascuorum
Germany;13-7-2022;Halictus scabiosae
Germany;13-7-2022;Halictus simplex
Germany;13-7-2022;Osmia campanularum
Germany;13-7-2022;Sphecodes gibbus
Germany;13-7-2022;Bombus bohemicus
Germany;13-7-2022;Bombus rupestris
Germany;13-7-2022;Bombus rupestris
Germany;13-7-2022;Bombus hortorum
Germany;13-7-2022;Bombus pascuorum
Germany;13-7-2022;Bombus rupestris
Germany;13-7-2022;Bombus terrestris
Germany;13-7-2022;Ceratina cyanea
Germany;13-7-2022;Halictus scabiosae
Germany;13-7-2022;Halictus simplex
Germany;14-7-2022;Halictus simplex
Germany;14-7-2022;Lasioglossum laticeps
Germany;14-7-2022;Lasioglossum morio
Germany;14-7-2022;Lasioglossum pauxillum
Germany;14-7-2022;Lasioglossum pauxillum
Germany;8-8-2022;Halictus quadricinctus
Germany;8-8-2022;Bombus lapidarius
Germany;8-8-2022;Bombus lapidarius
Germany;8-8-2022;Bombus lapidarius
Germany;8-8-2022;Bombus vestalis
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Halictus simplex
Germany;8-8-2022;Halictus tumulorum
Germany;8-8-2022;Apis mellifera
Germany;8-8-2022;Apis mellifera
Germany;8-8-2022;Bombus ruderarius
Germany;8-8-2022;Bombus spec
